"period","month","day","airline","departureAirport","arrivalAirport","typeOfFlight","departureWeahter","arrivalWeather","arrivalStatus"
"summer",,,"RYR","TLV","BUD","long","30.01","30.01","severely Delayed"
"summer",,,"AIZ","CDG","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","TLV","BUD","long","30.01","30.01","severely Delayed"
"summer",,,"ELY","TLV","ZAG","long","30.01","30.01","Delayed"
"summer",,,"AIZ","CDG","TLV","long","30.01","30.01","on time"
"summer",,,"AIZ","TLV","BCN","long","30.01","30.01","severely Delayed"
"summer",,,"AIZ","TLV","BCN","long","30.01","30.01","severely Delayed"
"summer",,,"ELY","TLV","ZAG","long","30.01","30.01","Delayed"
"summer",,,"RYR","BRI","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","BRI","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","NAP","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","NAP","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","VIE","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","VIE","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","BER","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","BER","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","TLV","BUD","long","30.01","30.01","severely Delayed"
"summer",,,"RYR","TLV","BUD","long","30.01","30.01","severely Delayed"
"summer",,,"AIZ","CDG","TLV","long","30.01","30.01","on time"
"summer",,,"AIZ","CDG","TLV","long","30.01","30.01","on time"
"summer",,,"ELY","TLV","ZAG","long","30.01","30.01","Delayed"
"summer",,,"ELY","TLV","ZAG","long","30.01","30.01","Delayed"
"summer",,,"AIZ","TLV","BCN","long","30.01","30.01","severely Delayed"
"summer",,,"AIZ","TLV","BCN","long","30.01","30.01","severely Delayed"
"summer",,,"RYR","BRI","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","BRI","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","NAP","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","NAP","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","VIE","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","VIE","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","BER","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","BER","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","TLV","BUD","long","30.01","30.01","severely Delayed"
"summer",,,"RYR","TLV","BUD","long","30.01","30.01","severely Delayed"
"summer",,,"RYR","BER","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","BER","TLV","long","30.01","30.01","Delayed"
"summer",,,"AIZ","TLV","BCN","long","30.01","30.01","severely Delayed"
"summer",,,"AIZ","TLV","BCN","long","30.01","30.01","severely Delayed"
"summer",,,"RYR","BRI","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","NAP","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","BRI","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","VIE","TLV","long","30.01","30.01","on time"
"summer",,,"AIZ","CDG","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","NAP","TLV","long","30.01","30.01","Delayed"
"summer",,,"RYR","VIE","TLV","long","30.01","30.01","on time"
"summer",,,"ELY","TLV","ZAG","long","30.01","30.01","on time"
"summer",,,"ELY","TLV","ZAG","long","30.01","30.01","on time"
"summer",,,"AIZ","CDG","TLV","long","30.01","30.01","on time"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"AIZ","CDG","TLV","long","29.98","29.98","on time"
"summer",,,"AIZ","CDG","TLV","long","29.98","29.98","on time"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"AIZ","TLV","BCN","long","29.98","29.98","severely Delayed"
"summer",,,"AIZ","TLV","BCN","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","BRI","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","BRI","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","VIE","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","VIE","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","BER","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","BER","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"AIZ","CDG","TLV","long","29.98","29.98","on time"
"summer",,,"AIZ","CDG","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"AIZ","TLV","BCN","long","29.98","29.98","severely Delayed"
"summer",,,"AIZ","TLV","BCN","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","BRI","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","BRI","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","VIE","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","VIE","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","BER","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","BER","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","KRK","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","TLV","BUD","long","29.98","29.98","severely Delayed"
"summer",,,"RYR","KRK","TLV","long","29.98","29.98","on time"
"summer",,,"AIZ","TLV","BCN","long","29.98","29.98","severely Delayed"
"summer",,,"AIZ","TLV","BCN","long","29.98","29.98","severely Delayed"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"ELY","TLV","ZAG","long","29.98","29.98","on time"
"summer",,,"RYR","BRI","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","BRI","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","NAP","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","VIE","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","VIE","TLV","long","29.98","29.98","on time"
"summer",,,"RYR","BER","TLV","long","29.98","29.98","Delayed"
"summer",,,"RYR","BER","TLV","long","29.98","29.98","Delayed"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"TAP","LIS","TLV","short",,,"Delayed"
"summer",,,"TAP","LIS","TLV","short",,,"Delayed"
"summer",,,"EZY","TLV","CDG","short",,,"on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"EZY","TLV","CDG","short",,,"on time"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"AUA","TLV","VIE","short","16.64","26.72","Delayed"
"summer",,,"AUA","TLV","VIE","short","16.64","26.72","Delayed"
"summer",,,"BEL","BRU","TLV","short","16.64","26.72","on time"
"summer",,,"BEL","BRU","TLV","short","16.64","26.72","on time"
"summer",,,"AEE","TLV","ATH","short","26.72","24.03","severely Delayed"
"summer",,,"AEE","TLV","ATH","short","26.72","24.03","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","20.05","26.72","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","20.05","26.72","severely Delayed"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"RYR","TLV","BUD","short","26.72","29.72","on time"
"summer",,,"RYR","TLV","BUD","short","26.72","29.72","on time"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","IST","short","26.72","28.94","on time"
"summer",,,"THY","TLV","IST","short","26.72","28.94","on time"
"summer",,,"THY","IST","TLV","short","26.72","28.94","on time"
"summer",,,"THY","IST","TLV","short","26.72","28.94","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"RYR","TLV","BER","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","BER","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","25.45","26.72","severely Delayed"
"summer",,,"UAE","TLV","DXB","short","26.72","24.03","on time"
"summer",,,"UAE","TLV","DXB","short","26.72","24.03","on time"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"EZY","TLV","CDG","short",,,"on time"
"summer",,,"EZY","TLV","CDG","short",,,"on time"
"summer",,,"TAP","LIS","TLV","short","24.03","26.72","Delayed"
"summer",,,"TAP","LIS","TLV","short","24.03","26.72","Delayed"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"AUA","TLV","VIE","short","16.64","26.72","Delayed"
"summer",,,"AUA","TLV","VIE","short","16.64","26.72","Delayed"
"summer",,,"BEL","BRU","TLV","short","16.64","26.72","on time"
"summer",,,"BEL","BRU","TLV","short","16.64","26.72","on time"
"summer",,,"AEE","TLV","ATH","short","16.64","26.72","severely Delayed"
"summer",,,"AEE","TLV","ATH","short","16.64","26.72","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","20.05","26.72","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","20.05","26.72","severely Delayed"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"RYR","TLV","BUD","short","20.90","26.72","on time"
"summer",,,"RYR","TLV","BUD","short","20.90","26.72","on time"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","IST","short","26.72","17.55","on time"
"summer",,,"THY","TLV","IST","short","26.72","17.55","on time"
"summer",,,"THY","IST","TLV","short","26.72","28.94","on time"
"summer",,,"THY","IST","TLV","short","26.72","28.94","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"RYR","TLV","BER","short","25.45","25.45","severely Delayed"
"summer",,,"RYR","TLV","BER","short","25.45","25.45","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","25.45","26.72","severely Delayed"
"summer",,,"UAE","TLV","DXB","short","26.72","24.03","on time"
"summer",,,"UAE","TLV","DXB","short","26.72","24.03","on time"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"EZY","TLV","CDG","short","24.03",,"on time"
"summer",,,"EZY","TLV","CDG","short","24.03",,"on time"
"summer",,,"TAP","LIS","TLV","short","24.03","26.72","Delayed"
"summer",,,"TAP","LIS","TLV","short","24.03","26.72","Delayed"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"AUA","TLV","VIE","short","24.63","26.72","Delayed"
"summer",,,"AUA","TLV","VIE","short","24.63","26.72","Delayed"
"summer",,,"BEL","BRU","TLV","short","24.63","26.72","on time"
"summer",,,"BEL","BRU","TLV","short","24.63","26.72","on time"
"summer",,,"AEE","TLV","ATH","short","26.72","24.03","severely Delayed"
"summer",,,"AEE","TLV","ATH","short","26.72","24.03","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","20.05","26.72","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","20.05","26.72","severely Delayed"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"RYR","TLV","BUD","short","20.90","26.72","on time"
"summer",,,"RYR","TLV","BUD","short","20.90","26.72","on time"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","IST","short","26.72","17.55","on time"
"summer",,,"THY","TLV","IST","short","26.72","17.55","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"RYR","TLV","BER","short","26.72","25.45","severely Delayed"
"summer",,,"RYR","TLV","BER","short","26.72","25.45","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","26.72","26.72","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","26.72","26.72","severely Delayed"
"summer",,,"UAE","TLV","DXB","short","26.72","21.49","on time"
"summer",,,"UAE","TLV","DXB","short","26.72","21.49","on time"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"AUA","VIE","TLV","short",,,"Delayed"
"summer",,,"EZY","TLV","CDG","short",,,"on time"
"summer",,,"EZY","TLV","CDG","short",,,"on time"
"summer",,,"TAP","LIS","TLV","short","24.03","26.72","Delayed"
"summer",,,"TAP","LIS","TLV","short","24.03","26.72","Delayed"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","on time"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"FDB","DXB","TLV","short","29.79","26.72","Delayed"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"AFR","CDG","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"TVF","ORY","TLV","short","34.39","26.72","on time"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","FRA","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"DLH","MUC","TLV","short","34.39","26.72","Delayed"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"BAW","LHR","TLV","short","24.63","26.72","on time"
"summer",,,"AUA","TLV","VIE","short","16.64","26.72","Delayed"
"summer",,,"AUA","TLV","VIE","short","16.64","26.72","Delayed"
"summer",,,"BEL","BRU","TLV","short","16.64","26.72","on time"
"summer",,,"BEL","BRU","TLV","short","16.64","26.72","on time"
"summer",,,"AEE","TLV","ATH","short","26.72","24.03","severely Delayed"
"summer",,,"AEE","TLV","ATH","short","26.72","24.03","severely Delayed"
"summer",,,"RYR","TLV","BUD","short","20.90","26.72","on time"
"summer",,,"RYR","TLV","BUD","short","20.90","26.72","on time"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"SWR","TLV","ZRH","short","20.42","26.72","Delayed"
"summer",,,"WZZ","KTW","TLV","short","26.72","26.72","severely Delayed"
"summer",,,"WZZ","KTW","TLV","short","26.72","26.72","severely Delayed"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"KLM","AMS","TLV","short","26.72","29.72","on time"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","AYT","short","26.72","23.09","on time"
"summer",,,"THY","TLV","IST","short","26.72","17.55","on time"
"summer",,,"THY","TLV","IST","short","26.72","17.55","on time"
"summer",,,"THY","IST","TLV","short","26.72","28.94","on time"
"summer",,,"THY","IST","TLV","short","26.72","28.94","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"PGT","SAW","TLV","short","26.72","25.45","on time"
"summer",,,"RYR","TLV","BER","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","BER","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","25.45","26.72","severely Delayed"
"summer",,,"RYR","TLV","VIE","short","25.45","26.72","severely Delayed"
"summer",,,"UAE","TLV","DXB","short","26.72","24.03","on time"
"summer",,,"UAE","TLV","DXB","short","26.72","24.03","on time"